356,120,6576,,89,30,1644
440,164,6656,,199,71,3308
384,144,6556,,295,107,4947
340,144,6688,,380,143,6619
408,196,6616,,393,162,6629
280,108,6668,,353,148,6632
272,212,6516,,325,165,6622
348,228,6504,,327,186,6576
340,108,6492,,310,164,6545
480,196,6708,,360,186,6555
428,204,6640,,399,184,6586
372,164,6640,,405,168,6620
292,232,6444,,393,199,6608
452,164,6616,,386,191,6585
376,236,6732,,373,199,6608
424,196,6604,,386,207,6599
440,180,6488,,423,194,6610
344,120,6744,,396,183,6642
396,160,6604,,401,164,6610
344,176,6488,,381,159,6581
412,172,6600,,374,157,6609
356,252,6656,,377,190,6587
436,132,6464,,387,183,6552
460,216,6572,,416,193,6573
384,164,6628,,409,191,6580
444,204,6624,,431,179,6572
440,180,6672,,432,191,6624
416,256,6568,,421,201,6623
344,172,6520,,411,203,6596
232,176,6672,,358,196,6608
368,164,6584,,340,192,6586
344,172,6524,,322,171,6575
368,124,6684,,328,159,6616
388,144,6612,,367,151,6601
388,104,6524,,372,136,6586
316,320,6584,,365,173,6601
316,164,6584,,352,183,6576
368,100,6612,,347,172,6576
404,196,6668,,351,195,6612
312,192,6676,,350,163,6635
368,244,6632,,363,183,6647
324,96,6720,,352,182,6674
388,180,6548,,348,178,6644
388,180,6704,,367,175,6651
424,240,6628,,381,174,6650
404,176,6552,,401,194,6608
472,204,6588,,422,200,6618
360,196,6748,,415,204,6629
260,140,6628,,374,179,6629
392,132,6604,,371,168,6642
380,196,6628,,348,166,6652
368,208,6572,,350,169,6608
384,260,6636,,381,199,6610
396,260,6504,,382,231,6585
332,156,6608,,370,221,6580
360,124,6420,,368,200,6542
376,208,6544,,366,187,6519
436,184,6504,,376,168,6519
396,156,6544,,392,168,6503
388,216,6560,,399,191,6538
280,220,6516,,375,194,6531
256,180,6604,,330,193,6556
324,212,6496,,312,207,6544
360,180,6620,,305,198,6559
372,184,6716,,328,189,6609
388,240,6636,,361,204,6617
452,160,6596,,393,191,6642
420,280,6608,,408,216,6639
308,104,6648,,392,196,6622
400,156,6596,,395,175,6612
296,188,6612,,356,182,6616
420,144,6652,,356,148,6627
376,172,6616,,373,165,6619
456,224,6756,,387,182,6659
344,180,6604,,399,180,6657
404,148,6632,,395,181,6652
432,196,6648,,409,187,6660
276,180,6552,,364,176,6609
388,148,6580,,375,168,6603
276,224,6556,,343,187,6584
